train_number,train_name,station_name,departure,source,destination,created_at
26926,ANDAL JN KALKA Intercity,ERNAKULAM JN,06:06:00,ANDAL JN,KALKA,2024-12-14 21:11:54.013402
23362,KARIMGANJ JUNCTION BHIND Duronto,DAUND JN,07:14:00,KARIMGANJ JUNCTION,BHIND,2024-12-30 21:11:54.013402
44507,HOSUR BHIND Local,FARUKHNAGAR,13:20:00,HOSUR,BHIND,2024-07-23 21:11:54.013402
52713,KHARAGPUR JN BHOJUDIH JUNCTION Superfast,DHUBRI,09:22:00,KHARAGPUR JN,BHOJUDIH JUNCTION,2024-12-16 21:11:54.013402
65711,MUZAFFARPUR JN GUWAHATI MMTS,MURLIGANJ,03:57:00,MUZAFFARPUR JN,GUWAHATI,2025-03-27 21:11:54.013402
53657,Bidar ROAD RATHOPUR Express,SAKRI JN,23:54:00,Bidar ROAD,RATHOPUR,2024-05-21 21:11:54.013402
67357,BHILAD DAHANU ROAD MMTS,PRAYAG,08:51:00,BHILAD,DAHANU ROAD,2025-04-23 21:11:54.013402
41491,RATANGARH JUNCTION AMRITSAR JN Duronto,HABIBGANJ,16:42:00,RATANGARH JUNCTION,AMRITSAR JN,2025-01-21 21:11:54.013402
68482,Proddatur ROAD SHORANUR JN Duronto,GAJRAULA JN,05:37:00,Proddatur ROAD,SHORANUR JN,2024-07-03 21:11:54.013402
40859,DORNAKAL JN Hosur ROAD Shatabdi,CUDDALORE PORT,14:22:00,DORNAKAL JN,Hosur ROAD,2024-12-12 21:11:54.013402
40056,Visakhapatnam TERMINUS AMRAVATI Intercity,Firozabad JN,15:56:00,Visakhapatnam TERMINUS,AMRAVATI,2024-12-05 21:11:54.013402
61838,BHUJ HANUMANGARH JN Express,KAMAKHYA,02:09:00,BHUJ,HANUMANGARH JN,2024-08-09 21:11:54.013402
49083,Saharsa JN Jabalpur ROAD Express,TINPAHAR JN,20:21:00,Saharsa JN,Jabalpur ROAD,2024-04-30 21:11:54.013402
12968,PIPAR ROAD JN HATHRAS JN Rajdhani,HALDIBARI,08:34:00,PIPAR ROAD JN,HATHRAS JN,2024-07-14 21:11:54.013402
26592,NIRMALI BARIPADA Duronto,Bikaner CENTRAL,22:03:00,NIRMALI,BARIPADA,2025-01-26 21:11:54.013402
94745,DHACA CANTT. MANGALORE CNTL Duronto,BOLARUM,11:32:00,DHACA CANTT.,MANGALORE CNTL,2024-10-20 21:11:54.013402
13274,Raebareli JN MAYILADUTURAI JN Superfast,JIRIBAM,06:26:00,Raebareli JN,MAYILADUTURAI JN,2024-11-07 21:11:54.013402
91686,Udaipur ROAD Jodhpur CENTRAL Superfast,Bally CENTRAL,23:05:00,Udaipur ROAD,Jodhpur CENTRAL,2025-02-14 21:11:54.013402
77322,SURATGARH JN LOHIAN KHAS JN Shatabdi,NERAL,03:48:00,SURATGARH JN,LOHIAN KHAS JN,2024-12-26 21:11:54.013402
50676,ADILABAD RAJAMUNDRY Shatabdi,RANCHI,01:14:00,ADILABAD,RAJAMUNDRY,2025-03-30 21:11:54.013402
58199,AGRA FORT VERAVAL Rajdhani,SHAKTI NAGAR,20:27:00,AGRA FORT,VERAVAL,2024-10-13 21:11:54.013402
34631,MADHUPUR JN LAKHO Express,ITARSI JN,02:57:00,MADHUPUR JN,LAKHO,2024-06-29 21:11:54.013402
71896,COIMBATORE JN OLD DELHI Express,BANSPANI,06:00:00,COIMBATORE JN,OLD DELHI,2025-03-01 21:11:54.013402
75092,WARDHA JN LALGARH JN Shatabdi,KHURJA JN,20:01:00,WARDHA JN,LALGARH JN,2025-02-26 21:11:54.013402
82592,MURTAJAPUR GHAZIABAD Superfast,ITWARI,02:07:00,MURTAJAPUR,GHAZIABAD,2024-11-02 21:11:54.013402
29824,MANUGURU PATLIPUTRA Shatabdi,VIJAYAWADA JN,11:50:00,MANUGURU,PATLIPUTRA,2024-06-16 21:11:54.013402
33815,SANGLI RAJMAHAL Mail,BALURGHAT,19:05:00,SANGLI,RAJMAHAL,2025-02-17 21:11:54.013402
30882,NAGORE ABOHAR Intercity,KORBA,07:47:00,NAGORE,ABOHAR,2025-03-27 21:11:54.013402
67591,UDAIPUR CITY Jamnagar ROAD Rajdhani,VARANASI JN,03:47:00,UDAIPUR CITY,Jamnagar ROAD,2024-08-29 21:11:54.013402
75293,NILAMBUR ROAD NEW ALIPURDAUR Duronto,Katihar ROAD,17:42:00,NILAMBUR ROAD,NEW ALIPURDAUR,2024-08-03 21:11:54.013402
90103,CHANDIGARH BELLARY JN Intercity,MURI,21:26:00,CHANDIGARH,BELLARY JN,2025-04-09 21:11:54.013402
44817,MAHOBA AMBALA CANT JN Express,MAHUVA JN,06:49:00,MAHOBA,AMBALA CANT JN,2025-04-17 21:11:54.013402
15411,HALDIA Unnao ROAD Duronto,SATARA,20:37:00,HALDIA,Unnao ROAD,2024-10-26 21:11:54.013402
22548,Sasaram TERMINUS Bharatpur CENTRAL MMTS,PARLI VAIJNATH,03:22:00,Sasaram TERMINUS,Bharatpur CENTRAL,2024-09-09 21:11:54.013402
74084,NADIKODE GARHBETA Shatabdi,AGRA CANTT,12:53:00,NADIKODE,GARHBETA,2024-10-09 21:11:54.013402
20200,JASIDIH JN MANKAPUR JN Duronto,TIRUPATTUR JN,03:27:00,JASIDIH JN,MANKAPUR JN,2024-09-09 21:11:54.013402
55591,HOSHIARPUR OLD DELHI Passenger,MEDCHAL,05:47:00,HOSHIARPUR,OLD DELHI,2025-01-30 21:11:54.013402
74011,Jabalpur TERMINUS BALHARSHAH Superfast,RISHIKESH,03:24:00,Jabalpur TERMINUS,BALHARSHAH,2025-02-09 21:11:54.013402
87070,LONDA JN MACHILIPATNAM Superfast,DARJEELING,21:04:00,LONDA JN,MACHILIPATNAM,2024-07-06 21:11:54.013402
47728,MANKAPUR JN VILLUPURAM JN Mail,WADI,12:19:00,MANKAPUR JN,VILLUPURAM JN,2025-03-15 21:11:54.013402
93792,JIND JN LUMDING JN Shatabdi,SAHARSA JN,05:40:00,JIND JN,LUMDING JN,2024-07-23 21:11:54.013402
61011,LAKHO KATHANA Shatabdi,PURNIA JN,04:24:00,LAKHO,KATHANA,2024-11-10 21:11:54.013402
33223,Munger JN HAZARIBAGH ROAD Mail,PURI,03:00:00,Munger JN,HAZARIBAGH ROAD,2024-11-17 21:11:54.013402
47140,BANDA JN LOHARU Rajdhani,ANAND NAGAR,10:26:00,BANDA JN,LOHARU,2024-10-21 21:11:54.013402
24220,Ratlam CENTRAL NEPALGANJ ROAD Superfast,ISLAMPUR,15:59:00,Ratlam CENTRAL,NEPALGANJ ROAD,2025-01-09 21:11:54.014402
39289,SANTRAGACHI JN Alappuzha JN Express,Kota CENTRAL,23:46:00,SANTRAGACHI JN,Alappuzha JN,2024-11-21 21:11:54.014402
52769,DHAMTARI CHIRMIRI Duronto,TENALI JN,17:27:00,DHAMTARI,CHIRMIRI,2025-03-10 21:11:54.014402
69494,HALDIBARI HASANABAD Superfast,AGARTALA,07:16:00,HALDIBARI,HASANABAD,2024-08-24 21:11:54.014402
63998,PACHORA JN TILAK BRIDGE MMTS,BHAIRABI,16:27:00,PACHORA JN,TILAK BRIDGE,2024-11-12 21:11:54.014402
54333,AMRITSAR JN KARWAR MMTS,MACHILIPATNAM,05:46:00,AMRITSAR JN,KARWAR,2024-05-17 21:11:54.014402
24207,CHENGALPATTU AZIMGANJ JN Express,ROZA JN,13:51:00,CHENGALPATTU,AZIMGANJ JN,2024-08-10 21:11:54.014402
57769,SHRI GANGANAGAR CHAMARAJANAGAR Shatabdi,SAGAULI JN,05:56:00,SHRI GANGANAGAR,CHAMARAJANAGAR,2024-06-28 21:11:54.014402
50409,Raebareli TERMINUS Tinsukia CITY MMTS,BHARATPUR JN,17:51:00,Raebareli TERMINUS,Tinsukia CITY,2025-04-10 21:11:54.014402
54068,South Dumdum CITY Lucknow TERMINUS Shatabdi,Gopalpur CITY,08:33:00,South Dumdum CITY,Lucknow TERMINUS,2024-09-09 21:11:54.014402
50079,TIRUCHIRAPPALLI METTUPALAYAM Passenger,ERODE JN,05:39:00,TIRUCHIRAPPALLI,METTUPALAYAM,2024-08-17 21:11:54.014402
29503,Dehri CITY Rohtak CENTRAL Express,MHOW,21:22:00,Dehri CITY,Rohtak CENTRAL,2025-04-17 21:11:54.014402
47235,RANCHI BARWADIH JN Shatabdi,VERAVAL,09:30:00,RANCHI,BARWADIH JN,2024-09-16 21:11:54.014402
18591,Aligarh JN SINGUR Mail,MUNABAO,23:53:00,Aligarh JN,SINGUR,2025-04-23 21:11:54.014402
73709,Panipat JN LUCKNOW Local,BHUJ,23:29:00,Panipat JN,LUCKNOW,2024-07-28 21:11:54.014402
43834,Patna ROAD Ujjain CITY Rajdhani,Anantapur TERMINUS,00:34:00,Patna ROAD,Ujjain CITY,2025-01-23 21:11:54.014402
40107,Proddatur CENTRAL Arrah ROAD MMTS,Jaunpur ROAD,12:50:00,Proddatur CENTRAL,Arrah ROAD,2024-11-03 21:11:54.014402
78355,HATHRAS JN RATANGARH JUNCTION Shatabdi,SAHARANPUR,13:36:00,HATHRAS JN,RATANGARH JUNCTION,2024-12-03 21:11:54.014402
35812,BODELI Hajipur CITY Rajdhani,SADULPUR JUNCTION,00:38:00,BODELI,Hajipur CITY,2024-09-20 21:11:54.014402
90363,Chapra ROAD LOHIAN KHAS JN Passenger,FARUKHNAGAR,18:51:00,Chapra ROAD,LOHIAN KHAS JN,2024-12-17 21:11:54.014402
62347,KATNI MUMBAI DADAR WEST Passenger,Patna CENTRAL,20:27:00,KATNI,MUMBAI DADAR WEST,2024-09-27 21:11:54.014402
22368,LALGARH JN Gorakhpur TERMINUS Express,UJJAIN JN,13:50:00,LALGARH JN,Gorakhpur TERMINUS,2025-02-20 21:11:54.014402
40540,BELGAUM CHITRADURG Express,ITWARI,22:08:00,BELGAUM,CHITRADURG,2024-09-02 21:11:54.014402
71831,RAJGIR SIRPUR TOWN Intercity,GONDIA JN,10:35:00,RAJGIR,SIRPUR TOWN,2024-07-03 21:11:54.014402
39831,VIRAR Nadiad TERMINUS Local,SILGHAT TOWN,23:34:00,VIRAR,Nadiad TERMINUS,2025-02-22 21:11:54.014402
71507,Danapur CITY CHENGALPATTU Shatabdi,HAZARIBAGH ROAD,21:54:00,Danapur CITY,CHENGALPATTU,2024-09-18 21:11:54.014402
78906,AMLA JN KOLLAM JN Shatabdi,SITAMARHI JN,13:32:00,AMLA JN,KOLLAM JN,2024-10-19 21:11:54.014402
39263,Raichur CITY ROHTAK JN Express,Bhilwara CITY,21:55:00,Raichur CITY,ROHTAK JN,2024-06-09 21:11:54.014402
84594,GHAZIABAD BADARPUR JN Express,ALWAR,20:54:00,GHAZIABAD,BADARPUR JN,2024-06-29 21:11:54.014402
55831,CHAKRADHARPUR MYSORE JN Local,KODINAR,03:40:00,CHAKRADHARPUR,MYSORE JN,2024-07-24 21:11:54.014402
87784,JORHAT TOWN PALANPUR JN Mail,PURNA JN,07:06:00,JORHAT TOWN,PALANPUR JN,2024-08-21 21:11:54.014402
63216,Anantapur ROAD AUNRIHAR JN Superfast,RAMESWARAM,21:44:00,Anantapur ROAD,AUNRIHAR JN,2025-03-08 21:11:54.014402
79739,Anand CENTRAL JAWLMUKHI ROAD Express,ABHANPUR JUNCTION,13:46:00,Anand CENTRAL,JAWLMUKHI ROAD,2024-12-09 21:11:54.014402
88503,Pune CITY PATHANKOT Mail,Sonipat JN,15:02:00,Pune CITY,PATHANKOT,2025-01-01 21:11:54.014402
54119,BODELI MANDAR HILL Mail,GUDUR JN,13:04:00,BODELI,MANDAR HILL,2024-06-19 21:11:54.014402
23199,Akola ROAD DHACA CANTT. Duronto,REWA,04:37:00,Akola ROAD,DHACA CANTT.,2024-11-30 21:11:54.014402
43226,North Dumdum TERMINUS KARIMGANJ JUNCTION Duronto,MERTA ROAD JN,00:37:00,North Dumdum TERMINUS,KARIMGANJ JUNCTION,2024-10-07 21:11:54.014402
67647,Korba JN JHARSUGUDA JN Duronto,DIVA,06:49:00,Korba JN,JHARSUGUDA JN,2025-03-02 21:11:54.014402
79014,Sangli-Miraj & Kupwad ROAD VIKARABAD JN Mail,KANALAS JN,17:09:00,Sangli-Miraj & Kupwad ROAD,VIKARABAD JN,2025-03-23 21:11:54.014402
47299,MAHBUBNAGAR JAMMU TAWI Local,KATHANA,14:57:00,MAHBUBNAGAR,JAMMU TAWI,2024-10-20 21:11:54.014402
75996,CHIKJAJUR JN MAHUVA JN MMTS,BAGALKOT,06:23:00,CHIKJAJUR JN,MAHUVA JN,2024-06-05 21:11:54.014402
22201,FORBESGANJ KHURJA JN Shatabdi,Bathinda CITY,01:23:00,FORBESGANJ,KHURJA JN,2025-01-20 21:11:54.014402
80184,BHOJUDIH JUNCTION JHARSUGUDA JN Superfast,DELHI H NIZAMUDDIN,18:13:00,BHOJUDIH JUNCTION,JHARSUGUDA JN,2024-12-12 21:11:54.014402
63676,BOLARUM KHED BRAHMA Duronto,PUDUCHERRY,08:59:00,BOLARUM,KHED BRAHMA,2024-05-09 21:11:54.014402
73257,Silchar TERMINUS UDAIPUR CITY Mail,SITAPUR CANT,05:03:00,Silchar TERMINUS,UDAIPUR CITY,2024-12-28 21:11:54.014402
56217,JIRIBAM OLD DELHI Mail,KORAPUT,22:39:00,JIRIBAM,OLD DELHI,2025-01-28 21:11:54.014402
23015,HUBLI JN Mysore TERMINUS Mail,BOLPUR SHANTINIKETAN,16:03:00,HUBLI JN,Mysore TERMINUS,2024-05-26 21:11:54.014402
79505,FATEHPUR RAMNAGAR Passenger,Chennai CENTRAL,07:38:00,FATEHPUR,RAMNAGAR,2024-05-31 21:11:54.014402
33193,FARUKHNAGAR KATHGODAM Shatabdi,GUNTAKAL JN,13:37:00,FARUKHNAGAR,KATHGODAM,2024-08-25 21:11:54.014402
67855,SHEOPUR KALAN Bhopal ROAD Express,Tirupati JN,01:52:00,SHEOPUR KALAN,Bhopal ROAD,2024-11-25 21:11:54.014402
38818,Amaravati TERMINUS BOTAD JN Shatabdi,Vijayanagaram CITY,07:15:00,Amaravati TERMINUS,BOTAD JN,2024-10-24 21:11:54.014402
62085,AKOLA JN Mango TERMINUS Express,CUDDALORE PORT,02:20:00,AKOLA JN,Mango TERMINUS,2024-06-19 21:11:54.014402
97541,SITAPUR CANT HASANABAD Express,TALCHER,03:25:00,SITAPUR CANT,HASANABAD,2025-04-13 21:11:54.014402
79617,SAMBHAL HATIM SARAI MAHESANA JN Superfast,PULGAON JN,17:21:00,SAMBHAL HATIM SARAI,MAHESANA JN,2025-03-21 21:11:54.014402
57781,Guntakal CENTRAL MARKAPUR ROAD Mail,RISHIKESH,04:23:00,Guntakal CENTRAL,MARKAPUR ROAD,2025-03-12 21:11:54.014402
71007,DAHANU ROAD Kozhikode ROAD Mail,NANDALUR,18:07:00,DAHANU ROAD,Kozhikode ROAD,2025-02-15 21:11:54.014402
60783,SAHARANPUR RAJULA CITY Intercity,JOGINDER NAGAR,12:13:00,SAHARANPUR,RAJULA CITY,2024-09-08 21:11:54.014402
43755,ANAND VIHAR TRM BARAUNI JN Local,AUNRIHAR JN,01:30:00,ANAND VIHAR TRM,BARAUNI JN,2025-01-30 21:11:54.014402
28750,KAKINADA TOWN CHANDAUSI JN MMTS,RATHOPUR,23:10:00,KAKINADA TOWN,CHANDAUSI JN,2024-11-02 21:11:54.014402
14407,DEVANHALLI Bidhannagar JN Superfast,SULLURUPETA,03:59:00,DEVANHALLI,Bidhannagar JN,2024-11-26 21:11:54.014402
33261,NARKATIAGANJ JN NEW BONGAIGAON Intercity,RAJAMUNDRY,04:57:00,NARKATIAGANJ JN,NEW BONGAIGAON,2024-08-23 21:11:54.014402
15551,Thiruvananthapuram TERMINUS New Delhi TERMINUS MMTS,TATANAGAR JN,00:39:00,Thiruvananthapuram TERMINUS,New Delhi TERMINUS,2024-10-23 21:11:54.015403
48126,JHARSUGUDA JN NANDURBAR Mail,RISHIKESH,02:48:00,JHARSUGUDA JN,NANDURBAR,2024-07-25 21:11:54.015403
88109,KURUKSHETRA JN Panchkula TERMINUS Shatabdi,Malegaon JN,20:16:00,KURUKSHETRA JN,Panchkula TERMINUS,2024-10-01 21:11:54.015403
11247,RATHOPUR HYDERABAD DECCAN Mail,KORAPUT,13:28:00,RATHOPUR,HYDERABAD DECCAN,2024-12-02 21:11:54.015403
87970,JAUNPUR JN MIRAJ JN Shatabdi,PANVEL,16:29:00,JAUNPUR JN,MIRAJ JN,2024-05-08 21:11:54.015403
77905,Gwalior CITY BOLARUM Shatabdi,DELHI SARAI ROHILLA,00:23:00,Gwalior CITY,BOLARUM,2024-06-15 21:11:54.015403
32264,NANDALUR NAMKHANA Mail,ROURKELA,18:04:00,NANDALUR,NAMKHANA,2024-06-24 21:11:54.015403
33910,KOCHUVELI PALITANA MMTS,WADSA,03:44:00,KOCHUVELI,PALITANA,2024-09-20 21:11:54.015403
86743,VADODARA JN PANIPAT JN Duronto,KOLAGHAT GOODS,07:54:00,VADODARA JN,PANIPAT JN,2024-08-03 21:11:54.015403
71430,Mau TERMINUS Bhusawal ROAD Intercity,SECUNDERABAD JN,15:03:00,Mau TERMINUS,Bhusawal ROAD,2025-01-25 21:11:54.015403
75537,Gurgaon CITY RAIPUR JN Mail,GANDHIGRAM,23:01:00,Gurgaon CITY,RAIPUR JN,2025-02-09 21:11:54.015403
30999,Tirupati JN Jaipur CITY Intercity,Bathinda CITY,18:42:00,Tirupati JN,Jaipur CITY,2024-12-23 21:11:54.015403
36703,DULLABCHERRA Srinagar JN Rajdhani,KUMBAKONAM,14:08:00,DULLABCHERRA,Srinagar JN,2025-02-22 21:11:54.015403
55786,DURG Vijayanagaram JN Express,RAJIM,10:51:00,DURG,Vijayanagaram JN,2024-11-26 21:11:54.015403
33403,MATHERAN BENOY BADAL DINESH GARDENS MMTS,JAISALMER,00:30:00,MATHERAN,BENOY BADAL DINESH GARDENS,2025-04-20 21:11:54.015403
86157,Raipur ROAD BUXAR Duronto,TANTPUR,16:24:00,Raipur ROAD,BUXAR,2024-09-19 21:11:54.015403
36780,GUNA SHAHDOL Intercity,Bhind TERMINUS,21:35:00,GUNA,SHAHDOL,2025-02-15 21:11:54.015403
70500,SOLAPUR JN Muzaffarpur JN Intercity,JAMNAGAR,00:46:00,SOLAPUR JN,Muzaffarpur JN,2025-02-08 21:11:54.015403
24815,Barasat JN ROHTAK JN Passenger,JOGINDER NAGAR,13:17:00,Barasat JN,ROHTAK JN,2024-06-23 21:11:54.015403
32963,JAYNAGAR JIND JN MMTS,MATHERAN,09:27:00,JAYNAGAR,JIND JN,2024-08-02 21:11:54.015403
54286,MANGALORE CNTL ABOHAR Duronto,REPALLE,20:39:00,MANGALORE CNTL,ABOHAR,2025-01-05 21:11:54.015403
68357,BALHARSHAH RAMPUR HAT Intercity,JAJPUR KEONJHAR ROAD,00:39:00,BALHARSHAH,RAMPUR HAT,2024-05-05 21:11:54.015403
77425,POLLACHI JN ASANSOL JN Rajdhani,DEKARGAON,08:36:00,POLLACHI JN,ASANSOL JN,2024-08-25 21:11:54.015403
21342,ABHANPUR JUNCTION FIROZPUR CANT Rajdhani,Medininagar TERMINUS,11:50:00,ABHANPUR JUNCTION,FIROZPUR CANT,2024-12-31 21:11:54.015403
78371,HOSHIARPUR JAGDALPUR Express,GEVRA ROAD,23:17:00,HOSHIARPUR,JAGDALPUR,2025-02-12 21:11:54.015403
67909,PRAYAG FAZILKA Mail,RAYAGADA,00:45:00,PRAYAG,FAZILKA,2025-03-26 21:11:54.015403
73876,Bhind TERMINUS KATNI MURWARA Mail,Gaya ROAD,12:18:00,Bhind TERMINUS,KATNI MURWARA,2025-04-13 21:11:54.015403
51125,MARIKUPPAM KARWAR Rajdhani,RANAGHAT JUNCTION,11:56:00,MARIKUPPAM,KARWAR,2024-06-06 21:11:54.015403
17346,BELGAUM MANGALORE CNTL Local,RAJAMUNDRY,03:58:00,BELGAUM,MANGALORE CNTL,2024-12-02 21:11:54.015403
22149,SITAPUR MUMBAI DADAR WEST Express,Amaravati ROAD,07:51:00,SITAPUR,MUMBAI DADAR WEST,2025-03-31 21:11:54.015403
80734,MIYAGAM KARJAN JUNCTION NG UNCHAHAR JUNCTION Passenger,RAJMAHAL,05:23:00,MIYAGAM KARJAN JUNCTION NG,UNCHAHAR JUNCTION,2025-02-08 21:11:54.015403
78293,MOTI KORAL BAIRGANIA Intercity,LALGARH JN,03:47:00,MOTI KORAL,BAIRGANIA,2024-09-26 21:11:54.015403
26224,PRAYAG SUBRAHMANYA ROAD Shatabdi,KAYANKULAM JN,01:40:00,PRAYAG,SUBRAHMANYA ROAD,2024-05-30 21:11:54.015403
62860,MANMAD JN Imphal CENTRAL Local,KARAIKKUDI JUNCTION,09:05:00,MANMAD JN,Imphal CENTRAL,2025-01-17 21:11:54.015403
24342,BIRUR JN RAIPUR JN Passenger,Deoghar CITY,04:11:00,BIRUR JN,RAIPUR JN,2024-11-28 21:11:54.015403
56857,CHENNAI BEACH CHIKJAJUR JN Mail,REWARI,10:28:00,CHENNAI BEACH,CHIKJAJUR JN,2024-12-13 21:11:54.015403
42079,KARWAR JHANSI JN Superfast,Kozhikode ROAD,17:28:00,KARWAR,JHANSI JN,2024-08-14 21:11:54.015403
22514,Chapra CITY SURATGARH JN Local,NIMACH,12:41:00,Chapra CITY,SURATGARH JN,2024-10-16 21:11:54.015403
65257,PANDHARPUR RAE BARELI JN Rajdhani,Begusarai JN,09:43:00,PANDHARPUR,RAE BARELI JN,2024-05-05 21:11:54.015403
40832,SAHARSA JN MOKAMEH JN Intercity,NAGPUR,00:32:00,SAHARSA JN,MOKAMEH JN,2024-06-15 21:11:54.015403
58763,TIRODI AJMER JN Local,MANIKPUR JN,11:13:00,TIRODI,AJMER JN,2025-04-10 21:11:54.015403
10240,CHORANDA JUNCTION Ramagundam ROAD Rajdhani,Karimnagar ROAD,16:31:00,CHORANDA JUNCTION,Ramagundam ROAD,2025-04-10 21:11:54.015403
64198,SATNA Shahjahanpur TERMINUS Express,Bhiwani JN,07:37:00,SATNA,Shahjahanpur TERMINUS,2025-04-03 21:11:54.015403
38027,SANGLI SATARA Duronto,RAMPUR HAT,20:34:00,SANGLI,SATARA,2024-09-09 21:11:54.015403
10322,TUMSAR ROAD SIURI Shatabdi,MANCHIRYAL,10:34:00,TUMSAR ROAD,SIURI,2025-04-04 21:11:54.015403
10128,RAMTEK TIRODI Local,VASCO DA GAMA,18:14:00,RAMTEK,TIRODI,2024-07-14 21:11:54.015403
77965,Bidar TERMINUS CHENGALPATTU Superfast,GUNUPUR,09:28:00,Bidar TERMINUS,CHENGALPATTU,2025-03-17 21:11:54.015403
92049,UJJAIN JN CHENNAI BEACH MMTS,GANDHIGRAM,12:46:00,UJJAIN JN,CHENNAI BEACH,2025-02-15 21:11:54.015403
76300,MURTAJAPUR Unnao CITY Local,MADGAON,14:53:00,MURTAJAPUR,Unnao CITY,2025-02-28 21:11:54.015403
65227,Ambala CENTRAL Kolhapur CENTRAL Superfast,TIRUPATI MAIN,08:01:00,Ambala CENTRAL,Kolhapur CENTRAL,2025-04-19 21:11:54.015403
34984,BAGALKOT JAJPUR KEONJHAR ROAD Mail,KACHEGUDA FALAKNUMA,09:22:00,BAGALKOT,JAJPUR KEONJHAR ROAD,2024-08-21 21:11:54.015403
62041,MIRAJ JN ARA Mail,REWARI,04:23:00,MIRAJ JN,ARA,2025-01-10 21:11:54.015403
54314,ADRA JN TUNDLA JN Duronto,Firozabad CITY,17:44:00,ADRA JN,TUNDLA JN,2025-02-22 21:11:54.015403
27478,Bahraich CENTRAL MAIRABARI Duronto,PARLI VAIJNATH,08:59:00,Bahraich CENTRAL,MAIRABARI,2025-03-02 21:11:54.015403
76453,KOLAGHAT GOODS DHOLA JN Express,JHANSI JN,16:15:00,KOLAGHAT GOODS,DHOLA JN,2025-03-18 21:11:54.015403
54897,FATEHABAD CHOWK JUNCTION Pondicherry TERMINUS MMTS,Kolhapur JN,08:08:00,FATEHABAD CHOWK JUNCTION,Pondicherry TERMINUS,2024-10-19 21:11:54.015403
15796,PILIBHIT JN PATIALA Mail,NANJANGUD TOWN,00:39:00,PILIBHIT JN,PATIALA,2024-05-22 21:11:54.015403
13249,Belgaum ROAD SINDRI TOWN Intercity,BALGONA,03:24:00,Belgaum ROAD,SINDRI TOWN,2024-11-27 21:11:54.015403
68249,DAMOH Ramgarh TERMINUS Duronto,ITARSI JN,16:26:00,DAMOH,Ramgarh TERMINUS,2025-02-19 21:11:54.015403
42266,VILLUPURAM JN Nizamabad JN Mail,VISHAKAPATNAM,12:05:00,VILLUPURAM JN,Nizamabad JN,2024-11-16 21:11:54.015403
77673,LUDHIANA JN PUDUCHERRY Rajdhani,BARSOI JN,10:46:00,LUDHIANA JN,PUDUCHERRY,2024-08-12 21:11:54.015403
73886,VIRAR Etawah ROAD Duronto,CHIK BALLAPUR,02:14:00,VIRAR,Etawah ROAD,2024-10-09 21:11:54.015403
73514,RAJGIR JETALSAR JN MMTS,ISLAMPUR,09:49:00,RAJGIR,JETALSAR JN,2024-10-22 21:11:54.015403
95874,DEHRADUN TATANAGAR JN MMTS,DARBHANGA JN,05:53:00,DEHRADUN,TATANAGAR JN,2024-10-23 21:11:54.015403
91582,MIYAGAM KARJAN JASIDIH JN Local,VISHAKAPATNAM,12:52:00,MIYAGAM KARJAN,JASIDIH JN,2024-11-19 21:11:54.015403
76079,SHRI GANGANAGAR ANUPGARH Passenger,TIRUCHIRAPPALLI,02:26:00,SHRI GANGANAGAR,ANUPGARH,2024-06-01 21:11:54.015403
81811,SATNA Sangli-Miraj & Kupwad JN Passenger,KARIMGANJ JUNCTION,03:07:00,SATNA,Sangli-Miraj & Kupwad JN,2024-12-11 21:11:54.015403
79373,CHITRAKUTDHAM KARWI RATHOPUR Rajdhani,MOKAMEH JN,11:19:00,CHITRAKUTDHAM KARWI,RATHOPUR,2024-12-05 21:11:54.015403
86597,Erode CITY BALAGHAT JUNCTION Rajdhani,Bhind JN,08:25:00,Erode CITY,BALAGHAT JUNCTION,2025-01-21 21:11:54.015403
12605,NAGARSOL Surat CENTRAL Intercity,NEW FARAKKA JN,22:33:00,NAGARSOL,Surat CENTRAL,2024-05-22 21:11:54.015403
40344,Motihari ROAD DELHI H NIZAMUDDIN Superfast,DELHI H NIZAMUDDIN,19:19:00,Motihari ROAD,DELHI H NIZAMUDDIN,2024-07-30 21:11:54.015403
85417,MAU JN SIRPUR TOWN Passenger,MAYILADUTURAI JN,20:11:00,MAU JN,SIRPUR TOWN,2024-08-19 21:11:54.015403
33172,BAPUDHAM MOTIHARI MANENDRAGARH MMTS,SASARAM,20:18:00,BAPUDHAM MOTIHARI,MANENDRAGARH,2024-10-09 21:11:54.015403
84981,SARDARSHAHR KOLLAM JN MMTS,NAGARSOL,12:47:00,SARDARSHAHR,KOLLAM JN,2024-08-27 21:11:54.015403
40527,Shimla CITY Tenali CENTRAL Superfast,Saharsa ROAD,05:34:00,Shimla CITY,Tenali CENTRAL,2025-02-06 21:11:54.015403
19274,CHARVATTUR BHUJ Superfast,DHASA JN,12:24:00,CHARVATTUR,BHUJ,2024-07-09 21:11:54.016402
38511,NIRMALI ROZA JN Passenger,SUBRAHMANYA ROAD,10:48:00,NIRMALI,ROZA JN,2024-06-29 21:11:54.016402
66493,YAVATMAL DEKARGAON Express,KESINGA,22:25:00,YAVATMAL,DEKARGAON,2024-10-09 21:11:54.016402
81427,WARDHA JN JAISALMER Duronto,RAE BARELI JN,12:32:00,WARDHA JN,JAISALMER,2024-05-15 21:11:54.016402
81383,KUMBAKONAM KODINAR Local,LOHARDAGA,00:45:00,KUMBAKONAM,KODINAR,2024-08-12 21:11:54.016402
